City,State,Zip,Latitude,Longitude,Timezone,DST
Drury,MO,90197,36.851944,-92.33081,-6,1
Shawnee,OK,90199,35.327341,-96.93544,-6,1
Randolph,TX,90205,33.485315,-96.25525,-6,1
Bullard,TX,90216,32.136787,-95.3671,-6,1
Saint Louis,MO,90218,38.6531,-90.243462,-6,1
Center,MO,90226,39.501697,-91.5367,-6,1
Frankfort,SD,90228,44.857069,-98.27191,-6,1
Newport,AR,90235,35.586065,-91.24695,-6,1
Bella Vista,AR,90237,36.458041,-94.23551,-6,1
Stebbins,AK,90243,63.511893,-162.27463,-9,1
Salem,OR,90253,44.970181,-123.08033,-8,1
Broadbent,OR,90257,42.977978,-124.1716,-8,1
Romeo,CO,90258,37.171583,-105.98648,-7,1
Norwood,CO,90281,38.082231,-108.2586,-7,1
Grand Junction,CO,90284,39.112514,-108.60506,-7,1
Collbran,CO,90285,39.220166,-107.93414,-7,1
Gillette,WY,90287,43.939968,-105.52445,-7,1
Lund,NV,90288,38.835421,-115.02628,-8,1
Calexico,CA,92232,33.026203,-115.284581,-8,1
Goshen,CA,93227,36.357151,-119.425371,-8,1
Huron,CA,93234,36.209815,-120.0847,-8,1
June Lake,CA,93529,37.765218,-119.07769,-8,1
Fresno,CA,93761,36.746375,-119.639658,-8,1
Cotati,CA,94931,38.328614,-122.71044,-8,1
Gustine,CA,95322,37.187494,-121.03232,-8,1
Atlanta,GA,30334,33.702657,-84.439127,-5,1
Waverly,AL,36879,32.733511,-85.55322,-6,1
Collierville,TN,90289,35.057224,-89.67417,-6,1
New Rumley,OH,90297,40.29649,-81.102502,-5,1
South Whitley,IN,90298,41.080236,-85.62796,-5,0
Valdosta,GA,31606,30.802411,-83.19624,-5,1
Zumbrota,MN,55992,44.297157,-92.68312,-6,1
Owego,NY,90300,42.120274,-76.25874,-5,1
Friendship,NY,14739,42.192384,-78.14308,-5,1
Pittsburgh,PA,90314,40.377869,-79.97516,-5,1
Warriors Mark,PA,90316,40.721787,-78.08561,-5,1
Cedar Springs,GA,90317,31.169794,-85.0557,-5,1
Bronson,FL,90320,29.447069,-82.60452,-5,1
Fishing Creek,MD,90321,38.288409,-76.20146,-5,1
Roanoke,VA,90324,37.274175,-79.95786,-5,1
Stirrat,WV,90326,37.833204,-81.902401,-5,1
Homosassa Springs,FL,90329,28.804911,-82.574264,-5,1
Moody,AL,90331,33.606379,-86.50249,-6,1
Greenville,NC,90333,35.626653,-77.37896,-5,1
Pinebluff,NC,90334,35.100144,-79.47979,-5,1
North Babylon,NY,90336,40.733398,-73.32257,-5,1
Providence,RI,90338,41.8191,-71.44775,-5,1
Brooksville,ME,90339,44.363587,-68.74399,-5,1
Morristown,NJ,90342,40.77975,-74.442797,-5,1
Yabucoa,PR,90344,18.072752,-65.89703,-4,0
St Thomas,VI,90346,18.322285,-64.963715,-4,0
Toledo,OH,90347,41.686778,-83.43943,-5,1
Greensboro,AL,90351,32.703529,-87.60177,-6,1
Afton,TN,90352,36.218863,-82.74704,-5,1
Arkabutla,MS,90353,34.686272,-90.106756,-6,1
Bode,IA,90354,42.884723,-94.27644,-6,1
Crestwood,KY,90357,38.3386,-85.492459,-5,1
East Point,GA,90358,33.696073,-84.450276,-5,1
Los Angeles,CA,90038,34.089459,-118.3285,-8,1
Los Angeles,CA,90063,34.045161,-118.1865,-8,1
Irvine,CA,92709,33.640302,-117.769442,-8,1
Morro Bay,CA,93492,35.372861,-120.859391,-8,1
San Francisco,CA,94175,37.784827,-122.727802,-8,1
La Sal,UT,90361,38.236886,-109.15445,-7,1
Vallejo,CA,95592,38.098737,-122.271251,-8,1
Germantown,TN,90362,35.088885,-89.80677,-6,1
Louisville,KY,90364,38.188962,-85.676819,-5,1
Beltrami,MN,90367,47.55171,-96.53492,-6,1
Carlisle,SD,90368,45.632378,-98.704197,-6,1
Calvin,ND,90373,48.849591,-98.90525,-6,1
Elgin,ND,90374,46.408171,-101.82853,-7,1
Plaza,ND,90374,48.073998,-101.9763,-6,1
Westhope,ND,90375,48.871815,-101.04936,-6,1
Somers,WI,90378,42.642298,-87.903161,-6,1
Waukesha,WI,90380,42.967394,-88.264,-6,1
Waldorf,MN,90385,43.930363,-93.69492,-6,1
Derwent,OH,90386,39.923616,-81.542965,-5,1
Elberfeld,IN,90387,38.170645,-87.42886,-6,1
Quimby,IA,90391,42.626822,-95.61438,-6,1
Shambaugh,IA,90393,40.65747,-95.024969,-6,1
Chilton,WI,90394,44.033215,-88.17626,-6,1
Marengo,OH,90400,40.399648,-82.80783,-5,1
East Saint Louis,IL,90416,38.564451,-90.1628,-6,1
Kansas City,MO,90418,39.276828,-94.57344,-6,1
Detroit,MI,90420,42.378287,-82.95243,-5,1
Cornelia,GA,90422,34.514215,-83.54118,-5,1
Washington,DC,90426,38.893311,-77.014647,-5,1
Washington,DC,90432,38.887405,-77.004663,-5,1
Wake,VA,90434,37.571789,-76.41631,-5,1
Clearfield,PA,90436,41.026239,-78.43838,-5,1
Wallaceton,PA,90437,40.960106,-78.28886,-5,1
West Babylon,NY,90438,40.922326,-72.637078,-5,1
Hunter,NY,90439,42.222061,-74.23418,-5,1
Eaton,NY,90442,42.83917,-75.65482,-5,1
Copenhagen,NY,90444,43.859025,-75.72942,-5,1
Hurley,VA,90445,37.409883,-82.02317,-5,1
Griffithsville,WV,90449,38.238045,-81.98991,-5,1
Silver Springs,FL,90451,29.215153,-82.097163,-5,1
Coal Township,PA,90453,40.791328,-76.56393,-5,1
Troxelville,PA,90456,40.801614,-77.20537,-5,1
Tobyhanna,PA,90457,41.19012,-75.36779,-5,1
Philadelphia,PA,19173,40.001811,-75.11787,-5,1
East Spencer,NC,90458,35.677889,-80.44593,-5,1
Charlotte,NC,90461,35.248292,-80.82748,-5,1
Charlotte,NC,90466,35.224242,-80.844743,-5,1
Pahoa,HI,90467,19.494625,-154.9266,-10,0
Portland,OR,90472,45.548616,-123.114725,-8,1
Selma,OR,90474,42.259678,-123.54778,-8,1
Aberdeen,WA,90477,46.972965,-123.81923,-8,1
Rochester,WA,90478,46.814438,-123.08647,-8,1
Fresno,CA,93701,36.749444,-119.78872,-8,1
Sacramento,CA,94295,38.377411,-121.444429,-8,1
Altoona,PA,16601,40.526319,-78.40082,-5,1
Abbottstown,PA,17301,39.891548,-76.98359,-5,1
Arcola,PA,19420,40.152871,-75.456719,-5,1
Pensacola,FL,90482,30.447997,-87.20727,-6,1
Munford,AL,90484,33.51179,-85.94756,-6,1
Whitetop,VA,90485,36.59565,-81.59154,-5,1
Ellamore,WV,90497,38.912609,-80.07907,-5,1
Seagrove,NC,90498,35.53332,-79.71018,-5,1
Three Bridges,NJ,90500,40.525361,-74.79632,-5,1
Tallulah,LA,90512,32.341594,-91.216458,-6,1
Dry Prong,LA,90515,31.563093,-92.54954,-6,1
Kurthwood,LA,90519,31.1019,-93.361238,-6,1
Detroit,MI,90520,42.331821,-83.04888,-5,1
Flint,MI,90524,43.011227,-83.69291,-5,1
Lewiston,MI,90526,44.839929,-84.30787,-5,1
Traer,IA,90530,42.193577,-92.4828,-6,1
McDade,TX,90535,30.283941,-97.23563,-6,1
Golden,CO,90538,39.522014,-105.223945,-7,1
Frontier,WY,90540,41.814385,-110.53743,-7,1
San Juan Capistrano,CA,92693,33.555323,-117.564,-8,1
Santa Barbara,CA,93140,34.262834,-119.848555,-8,1
Onyx,CA,93255,35.666835,-118.01701,-8,1
Carrollton,TX,90541,33.030556,-96.89328,-6,1
Hurst,TX,90542,32.858398,-97.17681,-6,1
Jackson,NE,90546,42.460155,-96.60668,-6,1
Fountain Hills,AZ,90548,33.604811,-111.72852,-7,0
Jenera,OH,90549,40.881217,-83.73199,-5,1
Kaiser,MO,90551,38.14008,-92.58331,-6,1
Maple City,KS,90553,37.043519,-96.75924,-6,1
Rolla,KS,90556,37.163412,-101.61909,-6,1
Wynot,NE,90559,42.749481,-97.14372,-6,1
Nacogdoches,TX,90567,31.626011,-94.60338,-6,1
Energy,TX,90571,31.758351,-98.40613,-6,1
Lowake,TX,90573,31.333614,-99.85837,-6,1
Denver,CO,90579,39.648328,-105.08431,-7,1
Evans,CO,90580,40.378019,-104.70357,-7,1
Pueblo,CO,90582,38.282872,-104.57029,-7,1
Idaho Falls,ID,90584,43.528891,-111.98136,-7,1
Winkelman,AZ,90586,32.945838,-110.72198,-7,0
Westport,SD,90588,45.663385,-98.62274,-6,1
Butte,ND,90591,47.785232,-100.69257,-6,1
Concepcion,TX,90614,27.316167,-98.29797,-6,1
Wilson,TX,90615,33.327782,-101.76906,-6,1
Blackwell,MO,90617,38.053566,-90.64229,-6,1
Richmond,VA,90625,37.524246,-77.493157,-5,1
Willis Wharf,VA,90628,37.518917,-75.810482,-5,1
Cascade,VA,90635,36.586545,-79.64194,-5,1
Saint Benedict,PA,90641,40.628368,-78.73335,-5,1
Newry,PA,16665,40.393223,-78.43508,-5,1
Harrison Valley,PA,16927,41.958059,-77.67187,-5,1
Sugar Valley,GA,90643,34.574804,-85.02482,-5,1
Orlando,FL,90644,28.385549,-81.505894,-5,1
Clearwater,FL,90653,27.944631,-82.78702,-5,1
Spencerville,MD,90667,39.127028,-76.96372,-5,1
Parsonsburg,MD,90672,38.363057,-75.45574,-5,1
Arlington,VA,90673,38.880811,-77.11295,-5,1
Rheems,PA,90675,40.129494,-76.56991,-5,1
Landingville,PA,17942,40.722587,-76.229623,-5,1
Prompton,PA,18456,41.606185,-75.33971,-5,1
New Milford,PA,18834,41.853082,-75.72077,-5,1
Ferndale,PA,18921,40.328645,-75.10278,-5,1
Philadelphia,PA,90678,39.991712,-75.11116,-5,1
Wagener,SC,90681,33.659078,-81.40845,-5,1
Osceola,WI,90682,45.299735,-92.64222,-6,1
Saint Paul,MN,90683,44.921982,-92.94234,-6,1
Granada,MN,90684,43.680519,-94.33773,-6,1
Pocahontas,MS,90685,32.311287,-90.397157,-6,1
Raymond,MS,90686,32.230592,-90.45709,-6,1
Edison,NJ,90687,40.516104,-74.39754,-5,1
Pearl River,NY,90690,41.063329,-74.01734,-5,1
Round Lake,NY,90698,42.932326,-73.79363,-5,1
West Lebanon,NY,12195,42.479384,-73.474809,-5,1
Beaver Meadows,PA,90699,40.931187,-75.91493,-5,1
Quincy,MA,90708,42.250739,-70.99593,-5,1
South Easton,MA,2375,42.029749,-71.10191,-5,1
Dennis Port,MA,2639,41.661115,-70.13348,-5,1
Texas City,TX,77590,29.395283,-94.91759,-6,1
Comfort,TX,78013,29.972473,-98.91084,-6,1
Doniphan,NE,90719,40.763643,-98.38794,-6,1
Hamlin,KY,90726,36.6033,-88.092285,-6,1
Toledo,OH,90728,41.686778,-83.43943,-5,1
Arenzville,IL,90729,39.883346,-90.39332,-6,1
Metairie,LA,90735,29.999453,-90.13398,-6,1
Lisbon,LA,71048,32.830135,-92.85568,-6,1
Yellow Spring,WV,26865,39.199856,-78.49655,-5,1
Ansonville,NC,28007,35.104652,-80.10965,-5,1
Pickett,WI,54964,43.923141,-88.72654,-6,1
Belle Plaine,MN,56011,44.616113,-93.76906,-6,1
Chatham,PA,19318,39.852406,-75.811789,-5,1
Baltimore,MD,21241,39.284707,-76.620489,-5,1
Minburn,IA,50167,41.750745,-94.04659,-6,1
Denver,CO,80202,39.751586,-104.99699,-7,1
Clarkston,UT,90737,41.938629,-112.0433,-7,1
Peoria,AZ,90739,33.689869,-112.24838,-7,0
Templeton,CA,93465,35.54464,-120.72428,-8,1
San Francisco,CA,94160,37.784827,-122.727802,-8,1
San Francisco,CA,94164,37.784827,-122.727802,-8,1
Twain Harte,CA,95383,38.055888,-120.23002,-8,1
Pine Grove,CA,95665,38.40097,-120.64952,-8,1
El Paso,TX,79917,31.694842,-106.299987,-7,1
Inglewood,CA,90301,33.955913,-118.35868,-8,1
Woodland,IL,60974,40.710295,-87.73137,-6,1
Alhambra,IL,62001,38.884434,-89.74886,-6,1
Hemet,CA,92543,33.73542,-116.97401,-8,1
Fullerton,CA,92837,33.640302,-117.769442,-8,1
Rochester,NY,14617,43.223213,-77.59721,-5,1
Pittsburgh,PA,15238,40.518701,-79.86744,-5,1
Maugansville,MD,21767,39.697894,-77.74514,-5,1
Warwick,RI,2886,41.705478,-71.45119,-5,1
Enfield,NH,3648,43.630276,-72.135352,-5,1
Stockton Springs,ME,4981,44.499082,-68.85667,-5,1
Randolph Center,VT,5061,43.928369,-72.5731,-5,1
Calais,VT,5648,44.375726,-72.49509,-5,1
Norristown,PA,19488,39.983153,-75.748055,-5,1
Robeson,PA,19524,40.248684,-75.858731,-5,1
Carolina,PR,982,18.409345,-65.99313,-4,0
Chattanooga,TN,37407,35.000825,-85.28673,-5,1
Greenville,MS,38704,33.253401,-90.918503,-6,1
Avalon,MS,38912,33.65497,-90.053958,-6,1
Brooklet,GA,30415,32.3456,-81.62339,-5,1
Brunswick,GA,31525,31.260995,-81.49832,-5,1
Zellwood,FL,32798,28.716923,-81.5754,-5,1
Bethesda,OH,43719,40.009383,-81.0763,-5,1
Junction City,OH,43748,39.710863,-82.30228,-5,1
Francisco,IN,47649,38.343295,-87.44275,-6,1
Millport,AL,35576,33.581135,-88.10835,-6,1
Foley,AL,36535,30.396876,-87.69616,-6,1
Pikeville,TN,37367,35.635097,-85.17161,-6,1
Winston Salem,NC,27107,36.046215,-80.18998,-5,1
Draper,VA,24324,36.973028,-80.79309,-5,1
Denton,KY,41132,38.251159,-82.83496,-5,1
Bryan,OH,43506,41.471569,-84.55459,-5,1
Swansboro,NC,28584,34.69771,-77.10614,-5,1
Clinton,SC,29325,34.470115,-81.86761,-5,1
Oroville,CA,95965,39.558586,-121.58923,-8,1
Irrigon,OR,97844,45.886463,-119.51737,-8,1
Island Park,ID,83429,44.490674,-111.36631,-7,1
Universal City,TX,78148,29.550223,-98.29936,-6,1
San Isidro,TX,78588,26.720155,-98.46845,-6,1
Moody,MO,65777,36.524268,-91.98863,-6,1
Garden Plain,KS,90741,37.663743,-97.68539,-6,1
Lenora,KS,67645,39.609655,-99.91904,-6,1
Campbell,MN,56522,46.130213,-96.40019,-6,1
Jamestown,ND,58405,46.913344,-98.699553,-6,1
Glenview,IL,60025,42.07672,-87.81922,-6,1
Zearing,IA,50278,42.158866,-93.29673,-6,1
Otho,IA,50569,42.417893,-94.1494,-6,1
Luana,IA,52156,43.051922,-91.45842,-6,1
Earling,IA,51530,41.77364,-95.42761,-6,1
Yorktown,IA,51656,40.737446,-95.156217,-6,1
Byron,WI,53009,43.76983,-88.494357,-6,1
Silver Lake,MN,55381,44.904987,-94.18802,-6,1
Newnan,GA,90751,33.38779,-84.82536,-5,1
Atlanta,GA,90752,33.844371,-84.47405,-5,1
La Fayette,GA,90757,34.696201,-85.25824,-5,1
Ashburn,GA,90758,31.709742,-83.66519,-5,1
Fort Lauderdale,FL,90759,26.094385,-80.15422,-5,1
Fort Myers,FL,90760,26.552895,-81.94861,-5,1
Bradenton,FL,90761,27.488866,-82.62737,-5,1
Millhousen,IN,90766,39.292004,-85.491788,-5,0
Cumberland City,TN,90770,36.373626,-87.63158,-6,1
Manor,PA,15665,40.333339,-79.66646,-5,1
Upperstrasburg,PA,17265,40.035958,-77.79113,-5,1
Witmer,PA,17585,40.048398,-76.211427,-5,1
Bowers,PA,19511,40.48773,-75.7393,-5,1
Ventnor City,NJ,8406,39.342299,-74.48192,-5,1
Cheraw,SC,29520,34.68862,-79.92315,-5,1
Greenville,SC,29615,34.866801,-82.31739,-5,1
Bohemia,NY,11716,40.770042,-73.11376,-5,1
Barryville,NY,12719,41.480326,-74.92694,-5,1
Suffolk,VA,90771,36.84882,-76.46521,-5,1
Evington,VA,90772,37.237928,-79.28268,-5,1
Shady Spring,WV,25918,37.712469,-81.00561,-5,1
Mocksville,NC,90775,35.920477,-80.57143,-5,1
Toast,NC,90777,36.551332,-80.655786,-5,1
Mather,CA,95655,38.558073,-121.28737,-8,1
Pasadena,CA,91189,33.786594,-118.298662,-8,1
Simi Valley,CA,93099,34.032383,-119.1343,-8,1
Battle Ground,WA,90778,45.791345,-122.51789,-8,1
Bloomfield,NM,87413,36.579374,-107.87907,-7,1
Whitman,MA,90779,42.08235,-70.93734,-5,1
Fairhaven,MA,90782,41.634152,-70.8814,-5,1
Hillyard,IL,90783,39.128248,-89.923215,-6,1
Spur,TX,90784,33.478848,-100.89669,-6,1
Chatham,LA,90788,32.277816,-92.45283,-6,1
Hardy,AR,90790,36.303556,-91.48573,-6,1
Witts Springs,AR,90792,35.747154,-92.90985,-6,1
Booneville,AR,72927,35.105966,-93.97531,-6,1
Wendell,ID,90795,42.76079,-114.71025,-7,1
Melba,ID,90796,43.370358,-116.57555,-7,1
Corinne,UT,90797,41.535714,-112.30373,-7,1
Glendale Heights,IL,90798,41.920228,-88.07891,-6,1
Lansing,IL,60438,41.565685,-87.54819,-6,1
Elgin,NE,90799,42.009216,-98.13311,-6,1
Robinson,KS,66532,39.8202,-95.36776,-6,1
Cook,MN,55723,47.854987,-92.77077,-6,1
Sandy Hook,MS,90800,31.054236,-89.85553,-6,1
Comstock,MI,49041,42.245412,-85.529858,-5,1
Rockford,IL,61107,42.280019,-89.03347,-6,1
Valley City,ND,58072,46.934311,-98.02374,-6,1
Hathaway,MT,59333,46.271872,-106.21374,-7,1
Birmingham,AL,35283,33.544622,-86.929208,-6,1
Rocky Hill,KY,42163,37.09425,-86.143188,-6,1
Richland,MI,49157,44.21551,-85.298079,-5,1
East Fultonham,OH,43735,39.851515,-82.12173,-5,1
Brookfield,OH,44403,41.239987,-80.58346,-5,1
Rolfe,IA,50581,42.842111,-94.53114,-6,1
Lake Alfred,FL,33850,28.092512,-81.72758,-5,1
Birmingham,AL,35259,33.544622,-86.929208,-6,1
Vina,AL,35593,34.369264,-88.06745,-6,1
Fairdale,KY,40118,38.106135,-85.75362,-5,1
Salt Lick,KY,40371,38.087867,-83.61146,-5,1
Washington Mills,NY,13479,43.053769,-75.271559,-5,1
Wellersburg,PA,15564,39.729896,-78.844105,-5,1
New Florence,PA,15944,40.371165,-79.0772,-5,1
Mapleton Depot,PA,17052,40.338058,-77.9779,-5,1
Summerville,GA,30747,34.489848,-85.32928,-5,1
Georgetown,GA,31754,31.860476,-85.07534,-5,1
Lake Mary,FL,32746,28.758133,-81.33992,-5,1
Lakeland,FL,33801,28.041198,-81.92392,-5,1
Ware Neck,VA,23178,37.400287,-76.46089,-5,1
New York,NY,10072,40.780751,-73.977182,-5,1
New York,NY,10166,40.754591,-73.976238,-5,1
Westtown,NY,10998,41.334034,-74.54593,-5,1
Church Hill,MD,21623,39.123235,-75.96707,-5,1
Fairforest,SC,29336,34.888237,-81.96902,-5,1
Gramling,SC,29348,34.888237,-81.96902,-5,1
Locust Valley,NY,11560,40.881957,-73.59417,-5,1
Scotrun,PA,18355,41.074757,-75.36259,-5,1
Frankville,AL,36538,31.646087,-88.14188,-6,1
Decatur,TN,37322,35.503723,-84.80741,-5,1
Westerville,OH,43081,40.109513,-82.91606,-5,1
Winston Salem,NC,27105,36.147887,-80.23423,-5,1
Akron,OH,44398,41.128705,-81.53999,-5,1
Craigville,IN,46731,40.793562,-85.0974,-5,0
Palm River-Clair Mel,FL,33659,27.894362,-82.338911,-5,1
Shannock,RI,2875,41.447642,-71.63877,-5,1
East Machias,ME,4630,44.753992,-67.3786,-5,1
New Britain,CT,6053,41.686949,-72.7908,-5,1
Arroyo,PR,714,17.987288,-66.05552,-4,0
Mattapan,MA,2126,42.272098,-71.09426,-5,1
Tonawanda,NY,14150,43.001907,-78.8631,-5,1
Atlanta,GA,30339,33.87507,-84.46615,-5,1
Wacissa,FL,32361,30.357761,-83.98882,-5,1
Fairfield,FL,32634,29.35089,-82.27648,-5,1
Dade City,FL,33523,28.433019,-82.19736,-5,1
Saint Petersburg,FL,33706,27.741505,-82.75179,-5,1
Bluefield,VA,24605,37.222548,-81.3367,-5,1
Slanesville,WV,25444,39.412828,-78.52587,-5,1
Mill Creek,WV,26280,38.736144,-80,-5,1
Thompson,PA,18465,41.839349,-75.50841,-5,1
Worcester,NY,12197,42.610314,-74.72401,-5,1
Scipio Center,NY,13147,42.774714,-76.57045,-5,1
Bridgeton,NC,28519,35.120742,-77.01969,-5,1
Big Run,WV,26561,39.575518,-80.666712,-5,1
Lyman,WY,82937,41.399751,-110.36624,-7,1
Lone Jack,MO,64070,38.895469,-94.15315,-6,1
New Hampton,MO,64471,40.264749,-94.19587,-6,1
Plano,TX,75075,33.024721,-96.74038,-6,1
Omaha,NE,68118,41.263194,-96.17108,-6,1
Skellytown,TX,79080,35.655035,-101.22477,-6,1
Harvey,LA,70059,29.677893,-90.0901,-6,1
Long Beach,CA,90845,33.786594,-118.298662,-8,1
San Diego,CA,92114,32.706954,-117.0542,-8,1
Seattle,WA,98144,47.58577,-122.30081,-8,1
Mazama,WA,98833,48.634796,-120.47681,-8,1
Wheatland,CA,95692,39.030716,-121.43497,-8,1
Sacramento,CA,95826,38.550098,-121.37492,-8,1
Santa Maria,CA,93458,34.956344,-120.45243,-8,1
Rantoul,IL,61866,40.307065,-88.15575,-6,1
Houston,TX,77046,29.733181,-95.43131,-6,1
Pearland,TX,77581,29.56218,-95.26982,-6,1
Viola,KS,67149,37.538257,-97.62031,-6,1
De Smet,SD,57231,44.374289,-97.57442,-6,1
Ramona,OK,74061,36.533868,-95.90865,-6,1
Byron,WY,82412,44.794477,-108.53415,-7,1
Tyler,TX,75712,32.411237,-95.289903,-6,1
Brownsboro,TX,75756,32.306045,-95.60507,-6,1
Chandler,AZ,85225,33.316349,-111.83064,-7,0
Lupton,AZ,86508,35.325261,-109.07847,-7,0
Vadito,NM,87579,36.160484,-105.56045,-7,1
Delano,CA,93215,35.774967,-119.23371,-8,1
Woodacre,CA,94973,38.007639,-122.63914,-8,1
Taholah,WA,98587,47.32251,-124.25814,-8,1
North Bonneville,WA,98639,45.650041,-121.97167,-8,1
Richmond,ME,4327,44.09156,-69.804077,-5,1
Island Falls,ME,4747,46.004523,-68.27004,-5,1
Essex Junction,VT,5452,44.501991,-73.09376,-5,1
Cheshire,CT,6410,41.507049,-72.90489,-5,1
Rehoboth,MA,2769,41.835067,-71.26115,-5,1
Springbrook,WI,54875,45.947509,-91.67526,-6,1
Dennison,MN,55018,44.422975,-93.00089,-6,1
Chattanooga,TN,37421,35.028574,-85.15939,-5,1
Kokomo,IN,46904,40.469625,-86.11894,-5,0
South Londonderry,VT,5155,43.158484,-72.84497,-5,1
South Windsor,CT,6074,41.836665,-72.56076,-5,1
Pittsburgh,PA,15242,40.434436,-80.024817,-5,1
Campbelltown,PA,17010,40.280149,-76.5806,-5,1
Macon,VA,23101,37.553314,-77.892964,-5,1
Chicago,IL,60697,41.811929,-87.68732,-6,1
Richmond,VA,23297,37.389721,-77.561266,-5,1
Stoy,IL,62464,38.98981,-87.839627,-6,1
Saint Michael,ND,58370,47.994379,-98.86913,-6,1
Franklin,AR,72536,36.155897,-91.75644,-6,1
Elk City,OK,73644,35.405935,-99.41658,-6,1
Adair,OK,74330,36.434328,-95.25512,-6,1
Atlanta,GA,30354,33.658834,-84.39682,-5,1
Indian Hills,CO,80454,39.631254,-105.26071,-7,1
Loudon,TN,37774,35.725969,-84.33069,-5,1
Brooksville,MS,39731,33.230508,-88.57968,-6,1
Birdeye,AR,72314,35.357184,-90.677331,-6,1
Chagrin Falls,OH,44022,41.43932,-81.39232,-5,1
West Fork,AR,72774,35.896307,-94.19661,-6,1
Benton,WI,53803,42.563769,-90.36783,-6,1
Upson,WI,54565,46.309371,-90.4354,-6,1
New Auburn,WI,54757,45.235611,-91.52127,-6,1
Fond Du Lac,WI,54936,43.740559,-88.522984,-6,1
New Market,MN,55054,44.571056,-93.354267,-6,1
Hecker,IL,62248,38.299507,-89.961825,-6,1
Columbia,SC,29260,34.005992,-80.970766,-5,1
Bowling Green,KY,42104,36.930527,-86.44751,-6,1
Clarksburg,OH,43115,39.501913,-83.17383,-5,1
Akron,OH,44333,41.144661,-81.61948,-5,1
Naples,FL,34101,25.855534,-81.38719,-5,1
Ethel,MS,39067,33.127907,-89.46704,-6,1
Cardinal,VA,23025,37.422209,-76.37304,-5,1
Richmond,VA,23228,37.621745,-77.48896,-5,1
Norfolk,VA,23541,36.931166,-76.23972,-5,1
Shannon,NC,28386,34.851865,-79.12266,-5,1
Winter Beach,FL,32971,27.709049,-80.572557,-5,1
Buffalo,OK,73834,36.851116,-99.5897,-6,1
Dallas,TX,75294,32.767268,-96.777626,-6,1
Naturita,CO,81422,38.296229,-108.68079,-7,1
Van Tassell,WY,82242,42.706475,-104.12045,-7,1
Salt Lake City,UT,84133,40.769046,-111.889319,-7,1
Scottsdale,AZ,85262,33.798581,-111.8708,-7,0
Bakersfield,CA,93308,35.487491,-119.00896,-8,1
Clovis,CA,93611,36.840057,-119.66107,-8,1
San Francisco,CA,94131,37.741797,-122.4378,-8,1
Sacramento,CA,94249,38.377411,-121.444429,-8,1
Millville,CA,96062,40.577799,-122.10148,-8,1
Sheridan,OR,97378,45.089532,-123.40787,-8,1
Quecreek,PA,15555,40.091429,-79.087198,-5,1
Martinsburg,PA,16662,40.306709,-78.31987,-5,1
Nelson,PA,16940,41.978436,-77.24667,-5,1
Big Cove Tannery,PA,17212,39.81231,-78.06337,-5,1
Manville,NJ,8835,40.538903,-74.59222,-5,1
Port Jervis,NY,12771,41.374734,-74.66315,-5,1
Athol,NY,12810,43.484741,-73.89151,-5,1
Herkimer,NY,13350,43.038149,-74.9846,-5,1
Lynchburg,VA,24513,37.245798,-79.133546,-5,1
